ID,STATE_NAME,ST_ABBREV,MINORPCT,LIFEEXP,LOWINCPCT,LESSHSPCT,LINGISOPCT,UNEMPPCT,P_MINORPCT,P_LIFEEXP,P_LWINCPCT,P_LESHSPCT,P_LNGISPCT,P_UNEMPPCT,tract_geoid10,LIFEEXP_SE,NEG_LIFEEXP,Index_Raw,Index_5_Ptiles,Index_4_Ptiles,Index_best_Ptiles,PCA_Index_V1,PCA_Index_V2
230050025014,Maine,ME,0.115616911,81.7,10.0086281,1.793722,0,4.4554455,23.40676167,20.6465089642831,14.94628184,11.45247832,45.3531987,52.22274573,23005002501,1.1042,68.3,16.91155912,28.924242710856618,30.9936761475,28.924242710856618,37.056639402586114,53.46879582880453
230050025021,Maine,ME,0.008513932,84.7,3.5216718,0.7878788,0,0,2.398856213,5.04842501318573,3.268262247,6.140550808,45.3531987,11.7753852,23005002502,1.6135,65.3,13.921910119999998,14.317164393637146,16.63434923875,14.317164393637146,29.97728306438684,22.863271595953325
230050025022,Maine,ME,0,84.7,7.1865443,0,0,0,1.500971101,5.04842501318573,9.225385858,4.579298546,45.3531987,11.7753852,23005002502,1.6135,65.3,14.49730886,15.196338663437146,17.733317076,15.196338663437146,31.616897451680476,25.375215688538635
230050025023,Maine,ME,0.055532703,84.7,9.5845331,1.9058964,0,1.0572687,12.08681612,5.04842501318573,14.03932888,12.11099602,45.3531987,15.76096558,23005002502,1.6135,65.3,15.56953964,18.462582838637147,21.816122295,18.462582838637147,34.36213932048204,33.56322557612006
230050025024,Maine,ME,0.015064562,84.7,5.3802009,0,0,6.387665200000001,3.561494982,5.04842501318573,6.015464929,4.579298546,45.3531987,68.0081729,23005002502,1.6135,65.3,15.41357322,25.80091201763715,30.98903376875,25.80091201763715,32.950100776530704,43.15135312882198
230050025025,Maine,ME,0.102766798,84.7,12.7140975,0.7655502,5.6818182,2.6406429,21.20877783,5.04842501318573,20.60804324,6.046003051,74.12231892,32.82976335,23005002502,1.6135,65.3,17.42042176,27.730910714837147,33.40153214025,27.730910714837147,37.80324738027392,47.093769783022616
230050026001,Maine,ME,0.118032787,83.1,20.6557377,1.5731874,0,0.811359,23.81228915,11.1433300021293,36.921618960000004,10.1631379,45.3531987,13.99012827,23005002600,2.1157,66.9,17.98805682,23.51428276642586,26.6070209575,23.51428276642586,40.98630484712935,47.54711522335404
230050026002,Maine,ME,0.101272016,83.1,14.481409,4.267515899999999,0,3.9812646,20.92884779,11.1433300021293,24.40723926,26.44658523,45.3531987,47.55033014,23005002600,2.1157,66.9,17.9260379,30.980136666425857,35.9393383325,30.980136666425857,40.11362475136677,61.01306187983531
230050027001,Maine,ME,0.271023032,78.1,61.435458,12.9086337,8.0729167,4.6035806,45.09583339,57.8793415483615,89.96772879,64.39534723,80.05834754,53.64649748,23005002700,1.7804,71.9,31.7841178,69.1894525176723,72.01698026,69.1894525176723,75.82036061788519,150.4671419923872
230050027002,Maine,ME,0.259168704,78.1,43.4392828,4.2105263,4.4609665,7.6655052,43.74292325,57.8793415483615,73.42520222,26.12223361,69.91156981,75.51087211,23005002700,1.7804,71.9,26.33525616,60.569843859672304,61.24246943749999,60.569843859672304,61.14572878863407,125.46469717011406
230050027003,Maine,ME,0.02750275,78.1,8.15427,1.0279001,0,4.578096899999999,6.062632716,57.8793415483615,11.0588783,7.226420819,45.3531987,53.4068941,23005002700,1.7804,71.9,17.1320534,34.984946693472295,29.26134797975,34.984946693472295,37.17528780175858,66.22943933188888
230050028001,Maine,ME,0.066515495,77.2,42.7815571,5.9982862,0,1.3630731,14.30515139,66.7345717681052,72.6519524,36.22647015,45.3531987,18.60901022,23005002800,2.0345,72.8,24.58858328,47.91504064762104,43.210157867499994,47.91504064762104,58.44839425183534,108.57198423735848
230050028002,Maine,ME,0.14379085,77.2,30.2436126,8.738738699999999,0,6.390328200000001,28.0116434,66.7345717681052,54.49496095,49.47414708,45.3531987,68.02791125,23005002800,2.0345,72.8,23.6345359,56.81695794962104,54.337554495000006,56.81695794962104,54.71030156473677,122.7332982469296
230050029001,Maine,ME,0.045977011,77.4,22.7011494,2.8428094,0,3.7333333,10.01775973,64.7798548438738,40.90905444,17.86145669,45.3531987,44.9061184,23005002900,1.2917,72.6,20.37545842,42.76193661477476,37.2574570575,42.76193661477476,46.28912575868941,88.98778288566555
230050029002,Maine,ME,0.028636364,77.4,33.818181800000005,6.9020867,4.4848485,7.839866600000001,6.324509077,64.7798548438738,60.34221013,40.93345384,69.99420962,76.35948192,23005002900,1.2917,72.6,25.128996719999996,62.48184207077476,61.9073388775,62.48184207077476,57.53874392272174,129.55814500426249
230050029003,Maine,ME,0.146616541,77.4,36.8421053,6.6591422,0,19.4143167,28.47644477,64.7798548438738,64.7561504,39.67172302,45.3531987,96.99848339,23005002900,1.2917,72.6,27.10311284,62.311882070774764,61.694888877500006,62.311882070774764,62.01324797802356,132.40844258090934
230050029004,Maine,ME,0.146481178,77.4,17.3174873,7.4,2.3679417000000003,8.2148499,28.45693507,64.7798548438738,30.20782764,43.39054162,59.47971473,78.11771772,23005002900,1.2917,72.6,21.58005578,55.19513131077476,52.7989504275,55.19513131077476,48.04144895851555,111.8914278623518
